s,0,0
b,1.5,0
a,2.5,0
a,3,0
b,4,0
b,5,1
a,6,1
b,7,1
a,8,1
a,9,0
b,10,1
a,11,1
a,12,1
a,13,0
s,14,0
a,15,1
a,16,0
b,17,1
b,18,0
a,19,1
b,20,0
a,21,1
a,22,0
a,23,0
b,24,0
a,25,0
a,26,0
a,27,1
a,28,0
a,29,0
b,30,1
a,31,0
s,32,0
a,33,0
a,34,1
b,35,1
s,36,0
a,37,1
s,38,1
a,39,0
a,40,1
b,41,1
b,42,0
a,43,0
a,44,0
a,45,0
a,46,0
b,47,1
s,48,1
a,49,1
a,50,1
s,51,0
s,52,0
a,53,1
s,54,1
s,55,0
b,56,0
a,57,0
b,58,1
b,59,0
b,60,0
a,61,1
b,62,0
s,63,0
a,64,0
a,65,1
a,66,0
s,67,0
a,68,0
b,69,1
a,70,0
a,71,0
a,72,0
a,73,1
a,74,0
s,75,1
a,76,0
a,77,0
s,78,0
a,79,1
b,80,1
s,81,1
a,82,1
b,83,0
a,84,0
b,85,0
b,86,0
b,87,1
a,88,1
b,89,1
s,90,1
a,91,1
b,92,0
b,93,0
a,94,0
s,95,1
a,96,0
b,97,0
a,98,1
a,99,0
a,100,0
a,101,1
b,102,1
a,103,1
s,104,0
a,105,0
b,106,1
a,107,1
a,108,0
a,109,1
b,110,1
s,111,0
a,112,0
a,113,1
a,114,1
s,115,1
b,116,0
a,117,0
a,118,0
s,119,0
a,120,1
a,121,0
a,122,0
s,123,1
a,124,0
a,125,0
s,126,0
a,127,0
s,128,1
s,129,1
s,130,0
a,131,0
a,132,1
a,133,1
b,134,1
a,135,0
s,136,0
a,137,0
a,138,1
a,139,0
b,140,1
a,141,0
a,142,1
a,143,0
b,144,1
b,145,0
a,146,0
b,147,1
b,148,0
a,149,0
a,150,1
a,151,0
a,152,1
a,153,0
s,154,1
a,155,1
b,156,0
b,157,0
s,158,1
b,159,1
a,160,1
b,161,0
s,162,1
a,163,0
a,164,0
a,165,0
s,166,0
s,167,0
a,168,0
b,169,0
a,170,1
a,171,0
a,172,1
a,173,1
a,174,0
a,175,0
a,176,1
s,177,1
a,178,0
s,179,1
a,180,1
b,181,0
a,182,1
s,183,1
s,184,1
a,185,0
a,186,1
b,187,1
a,188,0
a,189,0
a,190,0
a,191,1
a,192,0
a,193,1
a,194,1
a,195,1
a,196,0
s,197,1
a,198,1
s,199,1
a,200,1
a,201,1
a,202,1
a,203,1
a,204,0
a,205,1
b,206,1
a,207,0
b,208,1
a,209,0
a,210,0
a,211,0
b,212,0
a,213,1
s,214,1
a,215,0
s,216,1
a,217,0
a,218,0
a,219,0
a,220,1
a,221,1
b,222,1
a,223,0
s,224,0
b,225,1
b,226,1
a,227,1
b,228,1
a,229,0
s,230,1
a,231,0
b,232,1
b,233,0
a,234,1
b,235,1
s,236,0
b,237,0
a,238,0
a,239,1
a,240,0
a,241,0
a,242,0
b,243,1
a,244,0
a,245,0
b,246,0
b,247,1
a,248,0
b,249,0
a,250,1
a,251,0
a,252,1
a,253,0
a,254,1
b,255,1
s,256,1
a,257,1
a,258,0
b,259,0
a,260,0
a,261,0
s,262,1
a,263,1
a,264,1
a,265,1
s,266,0
s,267,1
s,268,0
s,269,1
a,270,0
b,271,0
a,272,0
s,273,1
a,274,1
s,275,1
s,276,0
s,277,1
s,278,0
b,279,0
a,280,0
a,281,0
a,282,0
a,283,0
b,284,0
a,285,0
a,286,0
s,287,1
s,288,1
a,289,0
b,290,0
s,291,0
s,292,1
b,293,1
b,294,0
a,295,1
s,296,1
s,297,0
a,298,1
b,299,1
a,300,1
a,301,0
a,302,1
a,303,1
a,304,1
s,305,1
b,306,0
b,307,0
a,308,1
a,309,1
a,310,0
a,311,1
a,312,0
s,313,0
a,314,0
